STATE	<BIGBANG>	<ABRE_CHAVE>	<FECHA_CHAVE>	<ENTROPIA>	<ID>	<NUM_BOOL_TRUE>	<NUM_BOOL_FALSE>	<NUM_INTEGER>	<NUM_FLOAT>	<OP_ARIT_MAIS>	<OP_ARIT_MULTI>	<OP_ARIT_MENOS>	<OP_ARIT_DIV>	<OP_LOGICO_E>	<OP_LOGICO_OU>	<OP_LOGICO_NAO_LOGICO>	<ATRIBUICAO>	<PONTO_VIRGULA>	<TIPO_NUM_INTEGER>	<TIPO_NUM_FLOAT>	<TIPO_NUM_BOOL>	<OP_REL_MENOR>	<OP_REL_MAIOR>	<OP_REL_MENOR_IG>	<OP_REL_MAIOR_IG>	<OP_REL_DIF_IG>	<OP_REL_IG_IG>	<IF>	<ABRE_PARENT>	<FECHA_PARENT>	<ELSE>	<FOR>	<WHILE>	$	S	D	F	J	R	N	P	E	K	B	Q	L	T	V	U	X	G
10	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s15	r32	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	14	?	?	?	?	?
11	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s15	r32	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	16	?	?	?	?	?
12	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s15	r32	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	17	?	?	?	?	?
13	?	s18	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
14	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s19	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
15	?	?	?	?	s22	s23	s24	s25	s26	?	?	?	?	?	?	?	?	r8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	20	?	21	?	?	?	?	?	?	?	?	?	?	?
16	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s27	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
18	?	?	r4	?	s33	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	s36	?	?	?	s34	s35	?	?	29	?	?	?	?	?	30	?	?	?	?	?	?	32	?	31
19	?	?	r28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	r28	r28	r28	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	r31	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
21	?	?	?	?	r16	r16	r16	r16	r16	s39	s40	s41	s42	s43	s44	s45	?	r10	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	37	?	38	?	?	?	?	?	?	?	?	?	?
22	?	?	?	?	r11	r11	r11	r11	r11	r11	r11	r11	r11	r11	r11	r11	?	r11	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
